Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Gopizza,https://www.zomato.com/bangalore/gopizza-1-whitefield-bangalore,"Pizza, Fast Food","Phoenix Marketcity Bangalore, Whitefield, Bangalore",11am – 11pm (Today),"Unit 02, Phoenix Market City Mall, Devasandra Industrial Estate, Whitefield, Bangalore",+919513121207,1,1,1,0,3.5,62,3.4,216,,,"Great Place for Family, Excellent Location, Best in Service, Large Servings, Comforting Atmosphere, Served Quickly",300
New Udupi Veg,https://www.zomato.com/bangalore/new-udupi-veg-whitefield-bangalore,"North Indian, South Indian, Chinese","Whitefield, Bangalore",7am – 10:30pm (Today),"91, Immadihalli, Whitefield, Bangalore",+919916870575,1,1,1,1,3.5,30,4.0,5199,,,,300
Third Wave Coffee,https://www.zomato.com/bangalore/third-wave-coffee-itpl-main-road-whitefield-bangalore,"Coffee, Cafe, Beverages, Fast Food","Forum Shantiniketan Mall, Whitefield, Bangalore",8am – 1am (Today),"24, Upper Ground Floor, Forum Shantiniketan Mall, ITPL Main Road, Whitefield, Bangalore",+918025018073,1,1,1,0,4.0,212,4.1,1067,,,"Sit and Read, Couple Friendly, Quaint Little Place, Free Wifi, Table Service, Good Service Good Quality",400
The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-4-whitefield-bangalore,"North Indian, Mughlai","Whitefield, Bangalore",10am – 1am (Today),"14/P1, First Floor, Umashankar Avenue, Hagdur Road, Whitefield, Bengaluru",+918828100666,1,1,0,0,-,0,3.9,1798,,,,200
Auntie Fung's,https://www.zomato.com/bangalore/auntie-fungs-kr-puram-bangalore,"Asian, Thai, Chinese, Vietnamese, Japanese, Indonesian, Burmese, Korean","KR Puram, Bangalore",12noon – 11pm (Today),"66/2, 67/1, Mahadevapura, Garudacharpalya, Whitefield Main Road, KR Puram, Bangalore",+919818817522,1,1,1,0,-,0,-,0,,,,600
Chakh Le India,https://www.zomato.com/bangalore/chakh-le-india-brookefield,North Indian,"Brookefield, Bangalore",9am – 11:30pm (Today),"6, Shamma Reddy Complex, Kundanahali, Brookefield, Bangalore",+918971361195,1,1,1,0,3.5,194,3.7,8137,,"Chicken Parantha, Chicken Meal, Chana Masala, Parathas, Roti","Chirpy Crowd, Economical, Polite Staff, Good Quantity, Good Taste, Delicious Food",300
Udupi Gokula Veg,https://www.zomato.com/bangalore/udupi-gokula-veg-kr-puram-bangalore,"South Indian, Chinese, North Indian","KR Puram, Bangalore",7am – 10:30pm (Today),"61, 3rd Cross, Coconut Garden, Ayyappa Nagar, Kodigehalli Main Road, KR Puram, Bangalore",+919481006999,1,1,1,1,3.2,21,4.0,1688,,,,400
Facecake,https://www.zomato.com/bangalore/facecake-3-kr-puram-bangalore,"Bakery, Desserts","KR Puram, Bangalore",11am – 11pm (Today),"34, Vasantha Towers, 1st Main, Coconut Garden Layout, Kodigehalli Main Road, KR Puram, Bangalore",+919632696557,1,1,0,0,-,0,4.2,40,,,,400
Imperio Juice & Cafe,https://www.zomato.com/bangalore/imperio-juice-cafe-whitefield-bangalore,"Beverages, Sandwich, Fast Food, Desserts, Ice Cream, Shake","Whitefield, Bangalore",,"14, 1st Floor, 7th Cross, Hagadur Main Road, Whitefield, Bangalore",+918061525151,1,0,0,0,-,0,3.6,449,,,,150
Bullet Biryani,https://www.zomato.com/bangalore/bullet-biryani-1-itpl-main-road-whitefield-bangalore,"Chinese, Fast Food, Biryani, Kebab","ITPL Main Road, Whitefield, Bangalore",,"226/400, Second Floor, Saptgiri Arcade, KEB Colony, Industrial Area, ITPL Main Road, Whitefield, Bangalore",+918045025472,1,0,0,0,-,0,3.7,285,,,,150
UBQ By Barbeque Nation,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-whitefield-bangalore,"North Indian, Kebab, BBQ, Biryani","Whitefield, Bangalore",,"1st Floor, Ascendas Park Square, Whitefield Road, International Tech Park, Whitefield, Bangalore",+919109124318,1,0,0,0,-,0,3.9,3000,,,"Best Food under Best Budget, Proper Packaging, Packing, Good Quality, Quantity, Staff",250
Samosa Singh,https://www.zomato.com/bangalore/samosa-singh-kr-puram-bangalore,"Street Food, Fast Food, Tea, North Indian","KR Puram, Bangalore",,"1 Floor, 10, 5th Main Block 2, Ayyappa Nagar, Devasandra Main Road, KR Puram, Bangalore",+919538555567,1,0,0,0,-,0,3.6,263,,,,150
LeanCrust Pizza - ThinCrust Experts,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-whitefield-bangalore,"Pizza, Fast Food, Beverages","Whitefield, Bangalore",,"120-P, A3, Santosh Towers, KIADB Industrial Area, EPIP Zone, Whitefield, Bangalore",+918068172526,1,0,0,0,-,0,3.7,94,,,,350
SLAY Coffee,https://www.zomato.com/bangalore/slay-coffee-1-whitefield-bangalore,"Beverages, Coffee","Whitefield, Bangalore",,"14/1P, 1st Floor, Umashankar Avenue, Hagdur Main Road, Whitefield, Bangalore",+918433810005,1,0,0,0,-,0,4.2,699,,,,150
The Brooklyn Creamery - Healthy Ice Cream,https://www.zomato.com/bangalore/the-brooklyn-creamery-healthy-ice-cream-itpl-main-road-whitefield-bangalore,Ice Cream,"ITPL Main Road, Whitefield, Bangalore",,"236, 2nd Cross, Prashant Extension, ITPL Main Road, Whitefield, Bangalore",+918249772787,1,0,0,0,-,0,4.3,280,,,,200
NH1 Bowls - Highway To North,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-1-whitefield-bangalore,"North Indian, Kebab, Desserts","Whitefield, Bangalore",,"120-P, A3, Santosh Towers, Kiadb Industrial Area, EPIP Zone, Mahadepura, BBMP East, Whitefield, Bangalore",+918068172526,1,0,0,0,-,0,4.0,68,,,,200
Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-3-whitefield-bangalore,"Biryani, Kebab","Whitefield, Bangalore",11am – 11:30pm (Today),"Survey 133, BBMP Khata 497, Channa Sandra Village, Hope Farm, Chikkatirupati Main Road, Bidarahalli Hobli, Whitefield, Bangalore",+918494975464,1,1,0,0,-,0,3.9,244,,,,150
New Ramdev Sweets,https://www.zomato.com/bangalore/new-ramdev-sweets-kr-puram-bangalore,"Mithai, Street Food","KR Puram, Bangalore",8am – 10:30pm (Today),"20A, Opposite Government School, Seegehalli Main Road, KR Puram, Bangalore",+919964427154,1,1,0,1,-,0,3.7,410,,,,50
Kabab Mandra,https://www.zomato.com/bangalore/kabab-mandra-kr-puram-bangalore,"North Indian, Chinese","KR Puram, Bangalore",12:30pm – 11:30pm (Today),"P1, KSSIDC Industrial Estate, Near Phoenix Market City, KR Puram, Bangalore",+918028533041,1,1,1,0,2.6,226,3.7,669,,,,300
Kachori Chowk,https://www.zomato.com/bangalore/kachori-chowk-whitefield-bangalore,Street Food,"Whitefield, Bangalore",,"386/35, 1st floor, KR Puram, Whitefield, Bangalore",+918045025473,1,0,0,0,-,0,4.2,14,,,,100
AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-whitefield,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages","Whitefield, Bangalore",10:30am – 11pm (Today),"120-A2, 152, EPIP Industrial Area, Hoodi Village, Hobli, Whitefield, Bangalore",+917337383763,1,1,1,0,4.6,5116,3.6,509,,"Spicy Corn, Beda Roti, Mustard Fish, Pineapple Grill, Rabbit, Panneer Butter Masala","Cheerful Staff, Very Good Service, Live Grill, Birthday Celebrations, Good for Large Groups, Complimentary Drinks",1200
BigBites,https://www.zomato.com/bangalore/bigbites-1-itpl-main-road-whitefield-bangalore,"Fast Food, Pizza, Momos","ITPL Main Road, Whitefield, Bangalore",,"Saptgiri Arcade, 2nd Floor, Keb Colony, ITPL Main Road, Whitefield, Bangalore",+918045025472,1,0,0,0,-,0,4.1,156,,,,200
Rusbury Fresh Sweets And Savouries,https://www.zomato.com/bangalore/rusbury-fresh-sweets-and-savouries-whitefield-bangalore,Mithai,"Whitefield, Bangalore",,"Shop 4, 1st Floor, Near Victorian View Layout, Borewell Road, Whitefield, Bangalore",+917899180750,1,0,0,0,-,0,4.2,23,,,,100
Lakeview Milkbar,https://www.zomato.com/bangalore/lakeview-milkbar-whitefield-bangalore,"Desserts, Cafe, Fast Food, Sandwich, Beverages, Shake","Whitefield, Bangalore",11am – 1am (Today),"273, Whitefield Main Road, Whitefield, Bangalore",+918123595735,1,1,1,0,3.7,26,4.1,400,,,"Comforting Atmosphere, Served Quickly, Fair Prices, Best Food under Best Budget, Timely Service, Ambiance",500
Cake Junction,https://www.zomato.com/bangalore/cake-junction-whitefield-bangalore,"Pizza, Burger, Fast Food, Bakery, Beverages","Whitefield, Bangalore",10am – 10pm (Today),"204, Ramagondanahalli, Opposite Renaissance, Jagriti Apartment, Whitefield, Bangalore",+918431950800,1,1,1,0,-,0,-,2,,,,400
New Paratha Corner,https://www.zomato.com/bangalore/new-paratha-corner-whitefield,"North Indian, Chinese","Whitefield, Bangalore",Opens at 7:30pm,"14, ECC Road, Near GR Tech Park, Whitefield, Bangalore",+919916133201,1,1,1,0,3.9,126,4.1,7904,,,"Food Taste, Quality Food, Prices, Good Food, Menu",350
Brilram's Balaji Bhavan,https://www.zomato.com/bangalore/brilrams-balaji-bhavan-whitefield-bangalore,"North Indian, Chinese, Shake","Whitefield, Bangalore",7:30am – 10:30pm (Today),"84, Block A, Green Field Hub, Seegehalli Village, Bidarahalli Hobli, Whitefield, Bangalore",+919980177110,1,1,1,1,4.0,260,3.8,10800,,,"Great Taste, Good Taste, Spicy, Main Course, Timely Service, Worth the Money",800
Marwar's,https://www.zomato.com/bangalore/marwars-whitefield-bangalore,"Street Food, Mithai","Whitefield, Bangalore",,"386/35, First Floor, Whitefield Village, Whitefield, Bangalore",+918045025473,1,0,0,0,-,0,4.0,1,,,,100
Kerala Tiffin,https://www.zomato.com/bangalore/kerala-tiffin-itpl-main-road-whitefield-bangalore,"Kerala, Seafood, Biryani","ITPL Main Road, Whitefield, Bangalore",,"Shop 4, Ground Floor, J.R.V Nest, Whitefield, K.R Puram Hobli, ITPL Main Road, Whitefield, Bangalore",+916362869349,1,0,0,0,-,0,3.5,9133,,,,100
Donut Hubb,https://www.zomato.com/bangalore/donut-hubb-whitefield-bangalore,"Desserts, Beverages, Fast Food, Shake","Whitefield, Bangalore",,"Shop 8, Lakshmi Kuttuera Building, Opposite Immadahalli Milk Dairy, Immadahalli Main Road, Whitefield, Bangalore",+919600217870,1,0,0,0,-,0,3.0,35,,,,100
Firangi Bake,https://www.zomato.com/bangalore/firangi-bake-2-itpl-main-road-whitefield,"Italian, Mexican, Desserts","ITPL Main Road, Whitefield, Bangalore",,"122/3, Kundhanahalli, Mahadevpura, ITPL Main Road, Whitefield, Bangalore",+917710090007,1,0,0,0,-,0,3.9,1098,,"Corn, Sauce, Rice, Chicken",,250
Mealful Rolls - Meals In A Roll,https://www.zomato.com/bangalore/mealful-rolls-meals-in-a-roll-1-whitefield-bangalore,"Rolls, Fast Food","Whitefield, Bangalore",,"120-P, A3, Santosh Towers, KIADB Industrial Area, EPIP Zone, Whitefield, Bangalore",+918068172526,1,0,0,0,-,0,4.0,213,,,,200
SGS Non Veg Gundu Palav,https://www.zomato.com/bangalore/sgs-non-veg-gundu-palav-whitefield-bangalore,South Indian,"Whitefield, Bangalore",9am – 10:30pm (Today),"766, Ganesh Complex, Kadugodi Post, Seegehalli, Near SBI, Whitefield, Bangalore",+916366424865,1,1,1,0,3.7,29,3.9,1092,,,,500
Chai Central,https://www.zomato.com/bangalore/chai-central-whitefield-bangalore,"Tea, Street Food, Sandwich, Beverages","Whitefield, Bangalore",,"Ground Floor, Innovator - Explorer Building, International Tech Park, Whitefield, Bangalore",+919740084790,1,0,0,0,-,0,3.7,3,,,,100
Sizzlers Pizza Inn,https://www.zomato.com/bangalore/sizzlers-pizza-inn-whitefield-bangalore,"Pizza, Fast Food","Whitefield, Bangalore",11am – 10pm (Today),"2/1, Golden Fins Sports Club, Kumbena Agrahara, Whitefield, Bangalore",+919972740616,1,1,0,0,-,2,3.3,41,,,,500
Baker's Home Cakes & Desserts,https://www.zomato.com/bangalore/bakers-home-cakes-desserts-whitefield-bangalore,"Bakery, Beverages","Whitefield, Bangalore",12:02pm – 11:30pm (Today),"ITPL Main Road, Venkata Subbiha Complex, Nallurhalli, Whitefield, Bangalore",+917406555400,1,1,0,0,-,0,3.6,422,,"Exotic Fruit Cake, Butterscotch Cake, Pastries, Cakes, Cheesecake","Good and Nice to Enjoy, Excellent Food and Service, Tamper Proof Packaging, Contactless Delivery, Timely Service, Good Quality",400
B.L.D. Thali,https://www.zomato.com/bangalore/b-l-d-thali-brookefield-bangalore,"North Indian, Chinese, Fast Food, Desserts, Beverages","Brookefield, Bangalore",9:30am – 11pm (Today),"101, 2nd Main Road, Mahadevapura, B.B.M.P East, Brookefield, Bangalore",+918310652844,1,1,0,0,-,0,3.8,163,,,"Affordable Prices, Fresh Food with Good Quality, Best Food under Best Budget, Great Portions, Taste",100
Kallayi Restaurant,https://www.zomato.com/bangalore/kallayi-restaurant-4-kr-puram-bangalore,"Mangalorean, Beverages, Chinese, North Indian, Desserts, Seafood, Biryani","KR Puram, Bangalore",8am – 10:10pm (Today),"Shop 69, Basanavapara Main Road, Opposite Sangeetha Mobile, Ayyappanagar Circle, KR Puram, Bangalore",+916238587035,1,1,0,0,-,2,3.6,1299,,,,550
Kapital Kitchen,https://www.zomato.com/bangalore/kapital-kitchen-kr-puram-bangalore,"Biryani, North Indian, Chinese, Hyderabadi, Mughlai, Kebab, Desserts","KR Puram, Bangalore",11:30am – 11pm (Today),"C8 & C9, Ajith Layout, Chikkabasavanapura Main Road, Near State Bank Of India, Virgonagar Post, KR Puram, Bangalore",+919606154444,1,1,1,0,3.7,74,3.8,3631,,,"Customizable Food, Elaborate Menu, Fresh Food, Good Taste, Good Quality, Timely Service",550
Chatora Chaat Corner,https://www.zomato.com/bangalore/chatora-chaat-corner-1-whitefield-bangalore,Street Food,"Whitefield, Bangalore",9am – 11pm (Today),"Prashanti Complex, Channasandra Main Road, Mahadevapura, Whitefield, Bangalore Mahadeva Pura, B.B.M.P East, Karnataka",+917483629796,1,1,0,0,3.2,30,3.8,2298,,,,200
Boss Burger,https://www.zomato.com/bangalore/boss-burger-itpl-main-road-whitefield-bangalore,"Burger, Fast Food, Desserts, Beverages, Shake","Forum Shantiniketan Mall, Whitefield, Bangalore",,"Lower Ground Floor, Forum Shantiniketan Mall, Hoodi, Krishnarajapura, ITPL Main Road, Whitefield, Bangalore",+918657560513,1,0,0,0,-,0,3.9,550,,,,300
Pizza Bakers,https://www.zomato.com/bangalore/pizza-bakers-itpl-main-road-whitefield-bangalore,"Pizza, Fast Food","ITPL Main Road, Whitefield, Bangalore",,"Sy 92/2, Building 5, Prithvi Layout, ITPL Main Road, Whitefield, Bangalore",+919576778802,1,0,0,0,-,0,3.0,47,,,,150
Red Rhino,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore,"Pizza, Burger, Biryani, Chinese, Desserts, Healthy Food, North Indian, Pasta","Whitefield, Bangalore",12noon – 1am (Today),"4th Floor, Uptown Square, Seegehalli, Hoskote Road, Near Alliance 10 Downing Villas, Whitefield, Bangalore",+918045681242,1,1,1,0,4.5,4114,3.9,4006,,"Beef Sate, Prawn Wafers, Corn Dumplings, Peach Beer, Andhra Style Chicken, Craft Beer","Live Dj, Music and Ambience, Valet Service, Service is Great, Rooftop Ambience, Rooftop Seating",1800
Petuk,https://www.zomato.com/bangalore/petuk-whitefield,"Bengali, North Indian, Chinese, Biryani","Whitefield, Bangalore",12noon – 10:30pm (Today),"134/2, Shop E-09, 10, Chancity, Channasandra, Kadugodi, Mahadevapura, Whitefield, Bangalore",+919066497044,1,1,1,0,3.6,187,3.8,7725,,,,400
The Sandwich Station,https://www.zomato.com/bangalore/the-sandwich-station-whitefield-bangalore,"Sandwich, Burger, Fast Food, Rolls, Beverages, Shake","Whitefield, Bangalore",6:30am – 11:30pm (Today),"170, 3rd Cross, Gandhipuram, Whitefield, Bangalore",+919841519309,1,1,0,0,3.9,87,3.8,3657,,,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality, Worth the Money, Delicious Food",400
Khichdi Express,https://www.zomato.com/bangalore/khichdi-express-whitefield-bangalore,North Indian,"Whitefield, Bangalore",11am – 4am (Today),"386/35, 1st Floor, Immidihalli Main Road, Above More Supermarket, Whitefield, Bangalore",+918045025473,1,1,0,0,-,0,4.0,10,,,,150
Burger Kings Home,https://www.zomato.com/bangalore/burger-kings-home-whitefield-bangalore,"Fast Food, Desserts, Beverages, Shake","Whitefield, Bangalore",Opens tomorrow at 11am,"92/2, Building 5, Prithvi Layout, Chansandra, Kadugodi, Whitefield, Bangalore",+919576778802,1,0,1,0,3.2,10,3.3,429,,,"Perfect Presentation, Contactless Delivery, Great Portions, Timely Service, Price, Food",500
Kouzina Kafe - The Food Court,https://www.zomato.com/bangalore/kouzina-kafe-the-food-court-whitefield-bangalore,"Fast Food, Bakery, Desserts","Whitefield, Bangalore",,"Shop 12, Khata 208/176/1, 2nd Floor, Arya Hub Mall, Hope Farm, Whitefield, Bangalore",+918047108564,1,0,0,0,-,0,3.9,54,,,,200
Kartik's Mithai Shoppe,https://www.zomato.com/bangalore/kartiks-mithai-shoppe-whitefield,"Mithai, North Indian, Street Food","Whitefield, Bangalore",10:30am – 9:30pm (Today),"3/3, 3/4, 3/5, Pattandur Agrahara Village, Whitefield Main Road, Whitefield, Bangalore",+918041684166,1,1,1,1,3.7,110,4.3,411,,,,300
New Udupi Delicacy,https://www.zomato.com/bangalore/new-udupi-delicacy-whitefield-bangalore,"South Indian, North Indian, Chinese, Shake","Whitefield, Bangalore",7am – 10pm (Today),"Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bangalore",+919986334147,1,1,1,0,3.5,54,4.0,6690,,,,300
Whitefield Social,https://www.zomato.com/WhitefieldSocial,"North Indian, Chinese, Biryani, Pizza, Salad, Kebab, Desserts, Beverages","Phoenix Marketcity Bangalore, Whitefield, Bangalore",10am – 1am (Today),"29, Ground Floor, Phoenix Market City, Whitefield, Bangalore",+918657406121,1,1,1,0,4.2,3861,3.8,894,,"Honey Chilli Fries, Peri Peri Fish, Liit Cocktail, Dal Kichadi, Peach Ice Tea, Bao","Food and Music, Casual Dress Code, Fairly Priced Beers, Live Band, Breakfast Options, Amazing Music",1500
Angaar Biryani,https://www.zomato.com/bangalore/angaar-biryani-1-whitefield-bangalore,"Biryani, Chinese, Fast Food","Whitefield, Bangalore",11:30am – 10:45pm (Today),"134/2, Shop-W.13, 14, 15, Chancity, Ground Floor, Channasandra, Whitefield, Bangalore",+917348948505,1,1,1,0,3.8,76,3.8,3271,,,"Polite Staff, Best Place, Portion, Food Quality, Quantity, Good Food",400
Dilli Darbar,https://www.zomato.com/bangalore/dilli-darbar-1-whitefield,"North Indian, Chinese, Biryani, Beverages","Whitefield, Bangalore",11am – 11pm (Today),"Survey 166, AK Gopalan Colony, Main Road, Hope Farm, Opposite Government Polytechnic College, Whitefield, Bangalore",+919591594367,1,1,1,0,3.5,205,3.8,11100,,,"Nice Food, Tasty, Good Taste, Delicious Food, Worth the Money, Timely Service",800
Go Native,https://www.zomato.com/bangalore/go-native-whitefield-bangalore,"Healthy Food, Desserts, Beverages","Whitefield, Bangalore",8am – 10pm (Today),"36, Devasandra Industrial Area, Whitefield, Bangalore",+917338104901,1,1,0,0,3.9,79,3.7,156,,,"Amazing Interiors, Awesome Spot to Hangout, Fantastic Decoration, Preparation, Presentation, Best Food under Best Budget",1000
Artinci - Indulge Guilt Free!,https://www.zomato.com/artinciartisanalicecream,"Ice Cream, Desserts, Beverages","Whitefield, Bangalore",12noon – 12midnight (Today),"Om Sri Annapoornesweri PG, 1st B Cross, Upkar Layout, Whitefield, Bangalore",+918878777877,1,1,0,0,-,0,4.2,1539,,"Caramel Crunch, Chocolate Icecreams, Chocolate Fudge Sundae, Ice Creams",,150
Grow Fit,https://www.zomato.com/bangalore/grow-fit-1-whitefield-bangalore,"Healthy Food, North Indian, Thai, Desserts, Beverages","Whitefield, Bangalore",,"Survey 226/400, Flat 202 Second Floor, Sapthagiri Arcade, Hoodi Main Road, Whitefield, Bangalore",+918045025472,1,0,0,0,-,0,4.0,448,,,,250
Paratha Box - 2X Filling,https://www.zomato.com/bangalore/paratha-box-2x-filling-whitefield-bangalore,"North Indian, Desserts, Beverages","Whitefield, Bangalore",,"Khata 101/267, 268/11, Ground Floor, Sri Vinayaka Tech Park, Graphite Main Road, Hoodi Village, Whitefield, Bangalore",+918951393423,1,0,0,0,-,0,3.8,82,,,,150
NOTO- Healthy ice cream,https://www.zomato.com/bangalore/noto-healthy-ice-cream-brookefield-bangalore,"Ice Cream, Desserts","Brookefield, Bangalore",,"710, Varthur Rd, Thubarahalli, Whitefield, Brookefield, Bangalore",+918433867616,1,0,0,0,-,0,4.0,59,,,,100
Zwarma,https://www.zomato.com/bangalore/zwarma-1-kr-puram-bangalore,Lebanese,"KR Puram, Bangalore",12:20pm – 10:35pm (Today),"Survey 69/1 - 69/2, Metro Cash And Carry, Mahadevpura Village Hobli, Krishnarajapura, ITPL Main Road, Near Phoenix Market City, KR Puram, Bangalore",+919986365427,1,1,0,0,-,0,3.2,100,,,,150
Vaigai Vilas,https://www.zomato.com/bangalore/vaigai-vilas-whitefield-bangalore,"South Indian, Biryani, Chinese, Beverages","Whitefield, Bangalore",7am – 3am (Today),"128, 1st Floor, Pattandur Agrahara, Near ITPL Service Road, Whitefield, Bangalore",+918296066070,1,1,1,0,4.0,228,3.5,8759,,,"Customizations Available, Economical, Casual Seating Area, Office Crowd, Inexpensive, Great Recommendations",550
Hao Chi,https://www.zomato.com/bangalore/hao-chi-itpl-main-road-whitefield-bangalore,"Vietnamese, Chinese","ITPL Main Road, Whitefield, Bangalore",,"446, Channasandra, Kadugodi Main Road, ITPL Main Road, Whitefield, Bangalore",+919742466888,1,0,0,0,-,0,3.1,330,,,"Great Portions, Timely Service, Worth the Money, Delicious Food",300
Madurai Parotta House,https://www.zomato.com/bangalore/madurai-parotta-house-whitefield-bangalore,"Tamil, Chettinad, Chinese, South Indian","Whitefield, Bangalore",24 Hours (Today),"First Floor, Pattandur Agrahara, Near ITPL Backgate, Whitefield, Bangalore",+918197554225,1,1,0,0,-,0,3.5,660,,,,100
Angel's Kitchen,https://www.zomato.com/bangalore/angels-kitchen-whitefield,Kerala,"Whitefield, Bangalore",7:30am – 10pm (Today),"107/3, Channasandra Nagondanahalli Main Road, Kadugodi Post, Mahadevapura, Opposite Satyanarayana Swamy Temple, Whitefield, Bangalore",+919902132124,1,1,1,0,3.8,43,4.2,2345,,,"Young Crowd, Packaging, Fresh Food, Good Quality",150
Udupi Aatithya,https://www.zomato.com/bangalore/udupi-aatithya-whitefield-bangalore,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake","Whitefield, Bangalore",7am – 10pm (Today),"304, Ground Floor, K N Gopal Krishna Building, Opposite Brigade Cosmopolis, Whitefield, Bangalore",+919066622554,1,1,1,0,3.2,5,3.9,678,,,,400
The Sugar Free Keto Kafe - By Artinci,https://www.zomato.com/bangalore/the-sugar-free-keto-kafe-by-artinci-3-whitefield-bangalore,"Desserts, Ice Cream, Bakery","Whitefield, Bangalore",,"4, 1st B Cross, Upkar Layout, Whitefield, Bangalore",+918878777877,1,0,0,0,-,0,3.6,43,,,,150
Mast Momos,https://www.zomato.com/bangalore/mast-momos-whitefield-bangalore,"Momos, Chinese","Whitefield, Bangalore",10:30am – 12midnight (Today),"Unit 13, 1st Floor, Vasavi Kitchens, Arya Hub, Near Hope Farm Junction, Whitefield, Bangalore",+918448630631,1,1,0,0,-,0,3.9,3613,,"Fish Momo, Mix Veg Momos, Chicken Momos Steamed, Thai Noodles, Pan Fried Momos, Chicken Schezwan","Awesome Packaging, Good Value, Good Wifi, Reasonable Price, Tasty, Great Taste",150
Haveli Hyderabadi Dum Biryani,https://www.zomato.com/bangalore/haveli-hyderabadi-dum-biryani-1-whitefield-bangalore,"North Indian, Biryani, Chinese","Whitefield, Bangalore",12noon – 10:30pm (Today),"134/2, Shoe EE-07, EE-08, W-12, Chancity, Channasandra, Kadugodi, Whitefield, Bangalore",+918494904888,1,1,0,0,3.9,97,3.9,1575,,,"Fresh Food, Packaging, Good Quality, Price, Quantity",300
The Betel Leaf Co - Paan The Healthy Indian Dessert,https://www.zomato.com/bangalore/the-betel-leaf-co-paan-the-healthy-indian-dessert-whitefield-bangalore,Paan,"Whitefield, Bangalore",11am – 11pm (Today),"101 & 45, Whitefield Main Road, Narayanappa Garden, Whitefield, Bangalore",+916366681111,1,1,0,1,-,0,4.3,222,,,,200
Globo Ice Creams of the World,https://www.zomato.com/bangalore/globo-ice-creams-of-the-world-whitefield-bangalore,Ice Cream,"Whitefield, Bangalore",,"120-P, A3, Santosh Towers, Kiadb Industrial Area, Epip Zone, Whitefield, Bangalore",+918068172526,1,0,0,0,-,0,4.0,6,,,,100
Gharoyana,https://www.zomato.com/bangalore/gharoyana-whitefield-bangalore,"North Indian, Chinese, Rolls, Biryani, Bengali, Fast Food","Whitefield, Bangalore",11:30am – 10:40pm (Today),"Sy 134/2, Shop N-23, Chancity, G floor, Channasandra, Kadugodi post, Bangalore",+918884316014,1,1,1,0,-,1,3.8,538,,,,400
Cakesta,https://www.zomato.com/bangalore/cakesta-itpl-main-road-whitefield-bangalore,"Bakery, Desserts","ITPL Main Road, Whitefield, Bangalore",10:30am – 12midnight (Today),"Unit 13, Cakesta Vasavi kitchens, 1st Floor, Arya Hub Mall, Near Hope Farm Junction, ITPL Main Road, Whitefield, Bangalore",+918448630631,1,1,0,0,-,0,3.8,5207,,"Choco Almond, Rich Plum Cake, Chocolate Mocha, Eggless Cake, Yummy Cake, Wonderful Cake","Awesome Packaging, Reasonable Rate, Best Price, Great Value, Amazing Taste, Proper Packaging",200
Kheer Kadamb Bengali Sweets,https://www.zomato.com/bangalore/kheer-kadamb-bengali-sweets-whitefield-bangalore,"Mishti, Street Food","Whitefield, Bangalore",9am – 10:30pm (Today),"Shop 68/62, Dr. Meer Complex, Whitefield, Bangalore",+917829447770,1,1,0,1,-,0,3.7,611,,,,50
Mayuri Multicuisine Family Restaurant,https://www.zomato.com/bangalore/mayuri-multicuisine-family-restaurant-1-kr-puram-bangalore,"Andhra, Biryani, North Indian, Chinese, Seafood","KR Puram, Bangalore",11:30am – 11pm (Today),"116, 6th Cross, Muneshwara Layout, Kodigelli Main Road, Ayyappa Nagar, KR Puram, Bangalore",+919901267272,1,1,1,0,3.9,160,3.8,6636,,,"Fusion Dishes, Family Restaurant, Comfortable Seating Area, Good Taste, Food Quality",750
Udupi Garden,https://www.zomato.com/bangalore/udupi-garden-whitefield-bangalore,"South Indian, Chinese, North Indian","Whitefield, Bangalore",,"11/4, 11/2, Ground Floor, Near Vibgyor School, Katumnallur Kadugodi Main Road, Whitefield, Bangalore",+919591423355,1,0,0,0,-,0,4.0,129,,,,100
Tata Cha now Qmin,https://www.zomato.com/bangalore/tata-cha-now-qmin-itpl-main-road-whitefield-bangalore,"Tea, Beverages, Street Food, Shake","Forum Shantiniketan Mall, Whitefield, Bangalore",10am – 10pm (Today),"Kiosk 1, Upper Ground Floor, Forum Shantiniketan Mall, ITPL Main Road, Whitefield, Bangalore",18001208242,1,1,1,0,2.2,7,3.7,93,,,,300
