Segment>>,Consumer,,,,Consumer Total,Corporate,,,,Corporate Total,Home Office,,,,Home Office Total
CA-2013-168753,,,1002.7,,1002.7,,,,,,,,,,
CA-2013-168893,,,903.77,,903.77,,,,,,,,,,
CA-2013-169026,,,,,,,,,,,,,,23.34,23.34
CA-2013-169103,,,,1466.32,1466.32,,,,,,,,,,
CA-2013-169334,,,111.672,,111.672,,,,,,,,,,
CA-2014-100412,,,,,,,,,,,,,,141.96,141.96
CA-2014-100426,,,,12.48,12.48,,,,,,,,,,
CA-2014-100622,,,,1030.742,1030.742,,,,,,,,,,
CA-2014-100902,,,,699.4,699.4,,,,,,,,,,
CA-2014-101042,,,,843.84,843.84,,,,,,,,,,
CA-2014-101210,,,13.152,,13.152,,,,,,,,,,
CA-2014-101273,,,14.336,,14.336,,,,,,,,,,
CA-2014-101483,,,61.216,,61.216,,,,,,,,,,
CA-2014-102204,,,,3740.51,3740.51,,,,,,,,,,
CA-2014-102309,,,212.91,,212.91,,,,,,,,,,
CA-2014-102554,,,,,,,,,,,,,,3.76,3.76
CA-2014-102610,,,,248.396,248.396,,,,,,,,,,
CA-2014-102736,,,,177.08,177.08,,,,,,,,,,
CA-2014-103009,,,,,,,,26.4,,26.4,,,,,
CA-2014-103065,,59.824,,,59.824,,,,,,,,,,
CA-2014-103212,1541.51,,,,1541.51,,,,,,,,,,
CA-2014-103499,,,,209.568,209.568,,,,,,,,,,
CA-2014-104318,,,,,,,,,20.768,20.768,,,,,
CA-2014-104731,,,,951.98,951.98,,,,,,,,,,
CA-2014-104864,,,,,,,,552.856,,552.856,,,,,
CA-2014-105620,141,,,,141,,,,,,,,,,
CA-2014-106537,,,,20.736,20.736,,,,,,,,,,
CA-2014-107167,,,,,,,,,1347.52,1347.52,,,,,
CA-2014-107209,,,194.848,,194.848,,,,,,,,,,
CA-2014-107461,,,23.88,,23.88,,,,,,,,,,
CA-2014-108035,,,,491.888,491.888,,,,,,,,,,
CA-2014-108112,,,,559.2,559.2,,,,,,,,,,
CA-2014-108287,12.672,,,,12.672,,,,,,,,,,
CA-2014-108322,,,,,,,,,26.056,26.056,,,,,
CA-2014-109183,,,,649,649,,,,,,,,,,
CA-2014-109589,71,,,,71,,,,,,,,,,
CA-2014-110198,318.96,,,,318.96,,,,,,,,,,
CA-2014-110212,,,,,,,,,,,,,,48.9,48.9
CA-2014-110310,,,,,,,,,68.967,68.967,,,,,
CA-2014-110926,,,,25.06,25.06,,,,,,,,,,
CA-2014-112774,34.504,,,,34.504,,,,,,,,,,
CA-2014-113481,,,,,,740.214,,,,740.214,,,,,
CA-2014-113558,,,,,,,,,,,,,,729.648,729.648
CA-2014-113705,,,874.8,,874.8,,,,,,,,,,
CA-2014-114055,,,,,,,,,,,,,819.28,,819.28
CA-2014-114412,,,,15.552,15.552,,,,,,,,,,
CA-2014-114636,,,,192.16,192.16,,,,,,,,,,
CA-2014-115070,,,,,,,,16.739,,16.739,,,,,
CA-2014-115448,88.92,,,,88.92,,,,,,,,,,
CA-2014-115882,,,,,,1017.136,,,,1017.136,,,,,
CA-2014-116113,,,,,,,,10.16,,10.16,,,,,
CA-2014-116855,,,,504.9,504.9,,,,,,,,,,
CA-2014-116939,,,,177.55,177.55,,,,,,,,,,
CA-2014-117079,,,,863.88,863.88,,,,,,,,,,
CA-2014-117198,,,,659.9,659.9,,,,,,,,,,
CA-2014-117695,,,,,,13.76,,,,13.76,,,,,
CA-2014-118402,,,,243.92,243.92,,,,,,,,,,
CA-2014-119004,,,,105.408,105.408,,,,,,,,,,
CA-2014-119284,,,,,,,,,2942.784,2942.784,,,,,
CA-2014-119305,,,,173.8,173.8,,,,,,,,,,
CA-2014-119669,,,,5.67,5.67,,,,,,,,,,
CA-2014-120705,,,,,,,,,,,,,,147.184,147.184
CA-2014-120894,,,,28.08,28.08,,,,,,,,,,
CA-2014-121314,251.64,,,,251.64,,,,,,,,,,
CA-2014-121419,,,,,,,,,,,771.8,,,,771.8
CA-2014-121804,,,,72.8,72.8,,,,,,,,,,
CA-2014-121818,52.696,,,,52.696,,,,,,,,,,
CA-2014-122056,,,,181.86,181.86,,,,,,,,,,
CA-2014-122154,284.19,,,,284.19,,,,,,,,,,
CA-2014-122693,,,,,,,,1245.86,,1245.86,,,,,
CA-2014-122707,,,,,,503.22,,,,503.22,,,,,
CA-2014-122987,,80.564,,,80.564,,,,,,,,,,
CA-2014-122994,359.97,,,,359.97,,,,,,,,,,
CA-2014-123239,,,91.032,,91.032,,,,,,,,,,
CA-2014-123351,,,,80.48,80.48,,,,,,,,,,
CA-2014-123687,,,,,,234.2,,,,234.2,,,,,
CA-2014-124296,,,,712.85,712.85,,,,,,,,,,
CA-2014-124597,,,,,,,,,,,,,,32.088,32.088
CA-2014-124765,,,,723.92,723.92,,,,,,,,,,
CA-2014-124828,,,,,,9.552,,,,9.552,,,,,
CA-2014-124898,,,,,,,,,,,,,,184.66,184.66
CA-2014-125472,253.86,,,,253.86,,,,,,,,,,
CA-2014-125745,,,,,,,,,19.52,19.52,,,,,
CA-2014-125752,,,,,,,,,,,,,,41.424,41.424
CA-2014-126046,,,,,,,,,12.39,12.39,,,,,
CA-2014-126354,,,,119.178,119.178,,,,,,,,,,
CA-2014-126382,,,,,,,,,35.168,35.168,,,,,
CA-2014-126774,4.89,,,,4.89,,,,,,,,,,
CA-2014-126914,,,,776.08,776.08,,,,,,,,,,
CA-2014-127306,,,,175.086,175.086,,,,,,,,,,
CA-2014-127516,,,,,,,,,,,,,,64.784,64.784
CA-2014-127726,,,209.88,,209.88,,,,,,,,,,
CA-2014-127803,,,,,,,,,26.16,26.16,,,,,
CA-2014-128300,,,,,,,,406.94,,406.94,,,,,
CA-2014-128363,,,,2382.926,2382.926,,,,,,,,,,
CA-2014-128475,,,,,,,,,,,,,,71.98,71.98
CA-2014-128629,,,18.84,,18.84,,,,,,,,,,
CA-2014-128699,,,47.992,,47.992,,,,,,,,,,
CA-2014-128755,,,,629.86,629.86,,,,,,,,,,
CA-2014-128769,,,,,,,,,81.568,81.568,,,,,
CA-2014-129021,,,4590.344,,4590.344,,,,,,,,,,
CA-2014-129028,,,,,,127.95,,,,127.95,,,,,
CA-2014-129462,,,740.59,,740.59,,,,,,,,,,
CA-2014-129490,,,,,,,,,,,,,,419.136,419.136
CA-2014-129910,,,,,,,,,,,,,,59.76,59.76
CA-2014-130309,,,,544.38,544.38,,,,,,,,,,
CA-2014-130834,,,16.272,,16.272,,,,,,,,,,
CA-2014-130904,,,,22.744,22.744,,,,,,,,,,
CA-2014-132185,,,,52.344,52.344,,,,,,,,,,
CA-2014-132213,,,,,,,,,,,109.968,,,,109.968
CA-2014-133095,,,,,,,,,,,,117.62,,,117.62
CA-2014-133235,271.96,,,,271.96,,,,,,,,,,
CA-2014-133263,,,,,,,,3098.61,,3098.61,,,,,
CA-2014-133501,,,,5.184,5.184,,,,,,,,,,
CA-2014-133641,,,,48.69,48.69,,,,,,,,,,
CA-2014-133928,,,,4.572,4.572,,,,,,,,,,
CA-2014-134096,,,,,,,,,,,,,,399.53,399.53
CA-2014-134495,,,,,,,,269.4,,269.4,,,,,
CA-2014-134649,,,,,,,,22.63,,22.63,,,,,
CA-2014-134810,,,,,,272.232,,,,272.232,,,,,
CA-2014-135587,,,,372.64,372.64,,,,,,,,,,
CA-2014-136826,,,,,,,,,14.016,14.016,,,,,
CA-2014-137631,,,,751.984,751.984,,,,,,,,,,
CA-2014-138779,29.664,,,,29.664,,,,,,,,,,
CA-2014-138975,,,,2361.52,2361.52,,,,,,,,,,
CA-2014-139353,,,273.088,,273.088,,,,,,,,,,
CA-2014-139493,,,,15.92,15.92,,,,,,,,,,
CA-2014-139619,,,,,,,,,95.616,95.616,,,,,
CA-2014-139787,,,,,,,,,,,,,,35.4,35.4
CA-2014-139948,,,,7.904,7.904,,,,,,,,,,
CA-2014-140088,,,301.96,,301.96,,,,,,,,,,
CA-2014-140627,,,,303.32,303.32,,,,,,,,,,
CA-2014-140872,,,,1111.698,1111.698,,,,,,,,,,
CA-2014-141446,,,,,,,,,,,,,18,,18
CA-2014-141614,,,,,,,,,20.736,20.736,,,,,
CA-2014-142090,,,,2165.658,2165.658,,,,,,,,,,
CA-2014-142671,,,,,,,,,,,,,11.52,,11.52
CA-2014-143567,,,,,,,,3291.07,,3291.07,,,,,
CA-2014-143756,701.96,,,,701.96,,,,,,,,,,
CA-2014-143861,,,,17.088,17.088,,,,,,,,,,
CA-2014-144365,,,,11.68,11.68,,,,,,,,,,
CA-2014-144456,,,,,,,,,,,220.056,,,,220.056
CA-2014-144498,,817.829,,,817.829,,,,,,,,,,
CA-2014-144694,,,253.824,,253.824,,,,,,,,,,
CA-2014-145275,,,,14.94,14.94,,,,,,,,,,
CA-2014-145310,,,7.824,,7.824,,,,,,,,,,
CA-2014-145702,,,,,,,,342.24,,342.24,,,,,
CA-2014-145737,,,,163.96,163.96,,,,,,,,,,
CA-2014-146136,,,,24.448,24.448,,,,,,,,,,
CA-2014-146192,,,,675.06,675.06,,,,,,,,,,
CA-2014-146458,,,22.96,,22.96,,,,,,,,,,
CA-2014-146535,,,,,,,,,,,,,,1446.84,1446.84
CA-2014-146983,,,,1577.94,1577.94,,,,,,,,,,
CA-2014-147228,,,,458.984,458.984,,,,,,,,,,
CA-2014-147333,,,,,,,,,204.55,204.55,,,,,
CA-2014-147361,,,,,,,,,685.26,685.26,,,,,
CA-2014-147760,,,,,,1883.724,,,,1883.724,,,,,
CA-2014-148166,,,,,,,,,,,,,,17.856,17.856
CA-2014-148404,,,,,,,,,,,,,,1027.21,1027.21
CA-2014-148474,,,,,,,,,,,,,,544.14,544.14
CA-2014-148810,,,,,,,,,287.424,287.424,,,,,
CA-2014-148922,,,,,,,,,,,,,684.78,,684.78
CA-2014-148999,,,,419.136,419.136,,,,,,,,,,
CA-2014-149146,,,,,,,,,,,,7.968,,,7.968
CA-2014-149853,,,,33.472,33.472,,,,,,,,,,
CA-2014-150910,,,,1090.348,1090.348,,,,,,,,,,
CA-2014-150931,,,,,,,,,,,,,,33.74,33.74
CA-2014-151211,,,,,,,,,,,,,,201.09,201.09
CA-2014-151218,4.464,,,,4.464,,,,,,,,,,
CA-2014-151855,,,,,,,,,39.252,39.252,,,,,
CA-2014-152786,,,,40.41,40.41,,,,,,,,,,
CA-2014-152968,,,,23.08,23.08,,,,,,,,,,
CA-2014-153339,,,,,,,,15.992,,15.992,,,,,
CA-2014-153654,,,,,,,,19.008,,19.008,,,,,
CA-2014-154088,,,,26.72,26.72,,,,,,,,,,
CA-2014-154123,,,,,,,,,,,,,,27.58,27.58
CA-2014-154816,,,,,,,,,5.78,5.78,,,,,
CA-2014-155089,,,,,,,,,,,,,,45.66,45.66
CA-2014-155159,,,48.87,,48.87,,,,,,,,,,
CA-2014-155292,,,,,,,,,,,204.98,,,,204.98
CA-2014-155698,,,,,,668.54,,,,668.54,,,,,
CA-2014-155705,,,866.4,,866.4,,,,,,,,,,
CA-2014-155824,,,,,,,,,61.876,61.876,,,,,
CA-2014-156272,,,,,,,,,64.384,64.384,,,,,
CA-2014-156769,54.66,,,,54.66,,,,,,,,,,
CA-2014-157854,,,,,,,,,2747.25,2747.25,,,,,
CA-2014-157931,,,,,,,,,,,,,830.24,,830.24
CA-2014-158386,,,,124.75,124.75,,,,,,,,,,
CA-2014-158407,,,,,,,,,103.968,103.968,,,,,
CA-2014-158561,,,,,,,,1158.12,,1158.12,,,,,
CA-2014-158729,1665.62,,,,1665.62,,,,,,,,,,
CA-2014-158743,,,,199.17,199.17,,,,,,,,,,
CA-2014-158883,,25.344,,,25.344,,,,,,,,,,
CA-2014-158967,19.104,,,,19.104,,,,,,,,,,
CA-2014-159100,,,,,,,,,1893.786,1893.786,,,,,
CA-2014-159135,,,,,,,,,,,,,,4.3,4.3
CA-2014-159464,,,,,,524.85,,,,524.85,,,,,
CA-2014-159667,,,,,,,,,,,,,,691.144,691.144
CA-2014-159954,,,,2.78,2.78,,,,,,,,,,
CA-2014-160017,,,,,,,,,10.368,10.368,,,,,
CA-2014-160423,,,,,,,,,,,,,,383.992,383.992
CA-2014-160458,,,25.92,,25.92,,,,,,,,,,
CA-2014-160724,,,,,,,,,34.5,34.5,,,,,
CA-2014-160899,,,,,,,,,,,,,477.51,,477.51
CA-2014-161046,,,,,,,839.25,,,839.25,,,,,
CA-2014-161053,726.91,,,,726.91,,,,,,,,,,
CA-2014-161088,,,,,,,,,,,,,,29.84,29.84
CA-2014-161130,,,,,,,,,361.376,361.376,,,,,
CA-2014-161200,,,161.14,,161.14,,,,,,,,,,
CA-2014-161592,,,,,,,,,8.1,8.1,,,,,
CA-2014-161851,,,,,,15.57,,,,15.57,,,,,
CA-2014-161970,,,,30.9,30.9,,,,,,,,,,
CA-2014-162033,,,,,,,,,,,,,,57.01,57.01
CA-2014-162173,,,,608.43,608.43,,,,,,,,,,
CA-2014-162635,10.816,,,,10.816,,,,,,,,,,
CA-2014-163321,,,79.992,,79.992,,,,,,,,,,
CA-2014-163335,79,,,,79,,,,,,,,,,
CA-2014-163510,,,400.39,,400.39,,,,,,,,,,
CA-2014-163629,,,,,,,,,286.09,286.09,,,,,
CA-2014-164756,,,,,,,,,997.83,997.83,,,,,
CA-2014-164917,,,,,,,,,47.96,47.96,,,,,
CA-2014-165029,,,,,,,,,12.84,12.84,,,,,
CA-2014-165204,,,728.968,,728.968,,,,,,,,,,
CA-2014-165687,,,,35.04,35.04,,,,,,,,,,
CA-2014-165715,,,,32.776,32.776,,,,,,,,,,
CA-2014-165904,,,,,,,,,,,,,,235.44,235.44
CA-2014-167871,,,,47.328,47.328,,,,,,,,,,
CA-2014-167941,,,831.368,,831.368,,,,,,,,,,
CA-2014-168102,,,,,,,,,113.568,113.568,,,,,
CA-2014-168389,,,,,,,,,873.811,873.811,,,,,
CA-2014-169005,,,,5.56,5.56,,,,,,,,,,
CA-2014-169012,,,,,,,,,41.91,41.91,,,,,
US-2011-102715,,,737.2,,737.2,,,,,,,,,,
US-2011-107405,,,,,,,,,16.272,16.272,,,,,
US-2011-109162,,,,,,,,,170.352,170.352,,,,,
US-2011-114377,,149.9,,,149.9,,,,,,,,,,
US-2011-115196,,,,1299.99,1299.99,,,,,,,,,,
US-2011-117135,,,425.67,,425.67,,,,,,,,,,
US-2011-117170,,,,52.608,52.608,,,,,,,,,,
US-2011-118997,,,,,,,,,1215.92,1215.92,,,,,
US-2011-125521,,,,,,,,,,,,,,1139.92,1139.92
US-2011-130358,23.12,,,,23.12,,,,,,,,,,
US-2011-138835,,,,,,,,,,,,,,9.64,9.64
US-2011-143581,,,,,,,,,344.91,344.91,,,,,
US-2011-147627,,,,1859.4,1859.4,,,,,,,,,,
US-2011-147774,,,,,,,,,67.194,67.194,,,,,
US-2011-150574,,,,252.612,252.612,,,,,,,,,,
US-2011-155502,,,,,,,,,,,,,,944.61,944.61
US-2011-155544,,,,310.528,310.528,,,,,,,,,,
US-2011-155817,,,,,,,,,,,,,,67.76,67.76
US-2011-156216,,,,,,,,,18.648,18.648,,,,,
US-2011-156559,,,,638.82,638.82,,,,,,,,,,
US-2011-157231,,,,,,,,,115.36,115.36,,,,,
US-2011-158057,,,,59.109,59.109,,,,,,,,,,
US-2011-164763,,,,,,,,,103.5,103.5,,,,,
US-2011-165659,,,,904.13,904.13,,,,,,,,,,
US-2011-167633,,,,15.552,15.552,,,,,,,,,,
US-2012-106495,11.672,,,,11.672,,,,,,,,,,
US-2012-108966,,,,979.9455,979.9455,,,,,,,,,,
US-2012-112508,,,,,,,,,6.992,6.992,,,,,
US-2012-113327,,,,,,,,,,,,,352.168,,352.168
US-2012-120572,,,,12.828,12.828,,,,,,,,,,
US-2012-123960,,,,207.82,207.82,,,,,,,,,,
US-2012-129553,,,,29.97,29.97,,,,,,,,,,
US-2012-130519,,,,,,,111.904,,,111.904,,,,,
US-2012-131842,,,,,,97.424,,,,97.424,,,,,
US-2012-134026,,,,1001.76,1001.76,,,,,,,,,,
US-2012-136476,,,,,,,,,157.794,157.794,,,,,
US-2012-136749,,,433.78,,433.78,,,,,,,,,,
US-2012-140851,,,,,,,,38.88,,38.88,,,,,
US-2012-145436,,,,551.264,551.264,,,,,,,,,,
US-2012-148817,,,,,,,,,125.64,125.64,,,,,
US-2012-149629,,,,,,,,231.92,,231.92,,,,,
US-2012-151435,,,85.98,,85.98,,,,,,,,,,
US-2012-158911,,,,,,,,,16.712,16.712,,,,,
US-2012-164357,,,,13.12,13.12,,,,,,,,,,
US-2012-168732,,,,129.64,129.64,,,,,,,,,,
US-2012-168935,,,,459.4335,459.4335,,,,,,,,,,
US-2013-101616,,,,,,87.28,,,,87.28,,,,,
US-2013-102232,,,,,,,,,197.05,197.05,,,,,
US-2013-106600,354.9,,,,354.9,,,,,,,,,,
US-2013-108504,,,,,,,,,,,,2075.51,,,2075.51
US-2013-108637,,,,,,,,,,,,,,334.2,334.2
US-2013-109260,,,,,,,,,,,,,,431.976,431.976
US-2013-113649,645.136,,,,645.136,,,,,,,,,,
US-2013-116400,39.92,,,,39.92,,,,,,,,,,
US-2013-119298,59.98,,,,59.98,,,,,,,,,,
US-2013-120929,,,189.882,,189.882,,,,,,,,,,
US-2013-121013,,,,1678,1678,,,,,,,,,,
US-2013-123750,,,,,,,,,,,,,,895.06,895.06
US-2013-131891,2.214,,,,2.214,,,,,,,,,,
US-2013-132857,,,,6.672,6.672,,,,,,,,,,
US-2013-134761,,36.192,,,36.192,,,,,,,,,,
US-2013-135209,,,,,,,,,,,,,62.752,,62.752
US-2013-135923,,,,530.272,530.272,,,,,,,,,,
US-2013-137295,,,,187.228,187.228,,,,,,,,,,
US-2013-138408,,,,,,,,1319.96,,1319.96,,,,,
US-2013-139262,,,,,,,,,,,,,,471.078,471.078
US-2013-140809,,,,,,56.45,,,,56.45,,,,,
US-2013-142251,,,32.064,,32.064,,,,,,,,,,
US-2013-144393,,,,,,,,,17.616,17.616,,,,,
US-2013-146570,,,,,,,,,,,,,,612.14,612.14
US-2013-147991,,,,16.72,16.72,,,,,,,,,,
US-2013-148803,,85.224,,,85.224,,,,,,,,,,
US-2013-148901,,,,,,,,,191.018,191.018,,,,,
US-2013-150357,,,,,,,,,24.703,24.703,,,,,
US-2013-150567,,,,,,,,,29.97,29.97,,,,,
US-2013-153815,,,,,,368.432,,,,368.432,,,,,
US-2013-155404,,,,,,,,,,,,,,13.28,13.28
US-2013-156692,,89.32,,,89.32,,,,,,,,,,
US-2013-158309,,,,,,,,,,,3.744,,,,3.744
US-2013-159415,,,,,,,,,79.12,79.12,,,,,
US-2013-161844,,,,,,,,82.92,,82.92,,,,,
US-2013-162677,187.616,,,,187.616,,,,,,,,,,
US-2013-164588,,,,12.84,12.84,,,,,,,,,,
US-2013-164630,,,,,,,,,959.968,959.968,,,,,
US-2013-167472,678.87,,,,678.87,,,,,,,,,,
US-2013-168620,,,,,,,,,,,,,823.61,,823.61
US-2013-169369,,,,299.07,299.07,,,,,,,,,,
US-2014-100930,,,,,,,,,,,,,,1735.8505,1735.8505
US-2014-102904,,,,239.92,239.92,,,,,,,,,,
US-2014-105935,,,,3002.65,3002.65,,,,,,,,,,
US-2014-108063,34.65,,,,34.65,,,,,,,,,,
US-2014-108315,,,,,,,,,,,,,,225.546,225.546
US-2014-109610,,,,,,,,701.96,,701.96,,,,,
US-2014-114356,,,,,,,,,,,,,,35.96,35.96
US-2014-115252,,,,,,,,,30.336,30.336,,,,,
US-2014-117450,,,,107.552,107.552,,,,,,,,,,
US-2014-120390,,,,,,,,,,,,,,1633.188,1633.188
US-2014-120607,,195.64,,,195.64,,,,,,,,,,
US-2014-126060,,,,,,,,,198.272,198.272,,,,,
US-2014-126179,,,,311.96,311.96,,,,,,,,,,
US-2014-128118,,,,,,,,,76.521,76.521,,,,,
US-2014-128951,,,,,,1065.84,,,,1065.84,,,,,
US-2014-129224,,,,,,,,,,,,,,4.608,4.608
US-2014-132031,,,,,,,,,,,,,,513.496,513.496
US-2014-132297,,,,,,,,,,,,,,598.31,598.31
US-2014-132675,,,,,,,,,,,,,,148.16,148.16
US-2014-133781,37.608,,,,37.608,,,,,,,,,,
US-2014-134642,,,,428.704,428.704,,,,,,,,,,
US-2014-135062,,,229.544,,229.544,,,,,,,,,,
US-2014-135503,,,,,,,,,14.76,14.76,,,,,
US-2014-135986,,,,536.36,536.36,,,,,,,,,,
US-2014-136189,,,,82.38,82.38,,,,,,,,,,
US-2014-146822,,,,49.12,49.12,,,,,,,,,,
US-2014-146878,,,,12.294,12.294,,,,,,,,,,
US-2014-148768,,,,,,,,,,,,,71.976,,71.976
US-2014-148831,348.56,,,,348.56,,,,,,,,,,
US-2014-149510,,,,98.446,98.446,,,,,,,,,,
US-2014-152492,,239.24,,,239.24,,,,,,,,,,
US-2014-152842,,,,242.352,242.352,,,,,,,,,,
US-2014-152898,,,,67.9,67.9,,,,,,,,,,
US-2014-153633,,,2.064,,2.064,,,,,,,,,,
US-2014-156083,,,,,,,,,,,,,,9.664,9.664
US-2014-158526,,,1814.68,,1814.68,,,,,,,,,,
US-2014-159205,,,,,,,,,,,,,732.93,,732.93
US-2014-162208,,,,,,2.896,,,,2.896,,,,,
US-2014-162558,,,,,,,,,,,2437.672,,,,2437.672
US-2014-162670,,,,,,,,1152.87,,1152.87,,,,,
US-2014-163195,,,29.16,,29.16,,,,,,,,,,
US-2014-165953,,,,71.096,71.096,,,,,,,,,,
US-2014-166233,,,,24,24,,,,,,,,,,
US-2014-166611,,,,,,,,,68.742,68.742,,,,,
US-2014-167920,,,1827.51,,1827.51,,,,,,,,,,
US-2014-168116,,,,,,,8167.42,,,8167.42,,,,,
US-2014-168690,,,,2.808,2.808,,,,,,,,,,
Grand Total,20802.173,8132.409,49724.2545,116922.1345,195580.971,20792.607,9907.308,35243.231,55942.7865,121885.9325,7737.786,2977.456,8791.127,54748.6325,74255.0015
